year,male,female,total
1880,118399,97606,216005
1881,108280,98855,207135
1882,122031,115694,237725
1883,112475,120059,232534
1884,122738,137585,260323
1885,115945,141947,257892
1886,119041,153735,272776
1887,109311,155423,264734
1888,129906,189445,319351
1889,119032,189218,308250
1890,119700,201662,321362
1891,109265,196565,305830
1892,131452,224913,356365
1893,121042,225232,346274
1894,124893,235972,360865
1895,126643,247106,373749
1896,129070,251993,381063
1897,121942,248275,370217
1898,132100,274146,406246
1899,115193,247489,362682
1900,162128,317744,479872
1901,115594,254229,369823
1902,132748,280332,413080
1903,129322,278195,407517
1904,138507,292434,430941
1905,143234,309865,453099
1906,144067,313437,457504
1907,158585,337434,496019
1908,166367,354532,520899
1909,176865,368096,544961
1910,208518,419528,628046
1911,241397,441818,683215
1912,451455,586717,1038172
1913,536246,654915,1191161
1914,683323,796627,1479950
1915,880929,1023870,1904799
1916,923251,1085721,2008972
1917,959314,1123692,2083006
1918,1048658,1202362,2251020
1919,1015343,1174649,2189992
1920,1100802,1244037,2344839
1921,1137940,1279728,2417668
1922,1125222,1247582,2372804
1923,1132293,1252480,2384773
1924,1169071,1295700,2464771
1925,1151445,1263102,2414547
1926,1145471,1230175,2375646
1927,1161935,1236418,2398353
1928,1141201,1195551,2336752
1929,1107635,1157561,2265196
1930,1129535,1166496,2296031
1931,1069758,1103712,2173470
1932,1074417,1106280,2180697
1933,1020132,1045996,2066128
1934,1061843,1082318,2144161
1935,1069541,1086745,2156286
1936,1064269,1077533,2141802
1937,1093604,1101832,2195436
1938,1136449,1141443,2277892
1939,1133264,1134071,2267335
1940,1186119,1181296,2367415
1941,1254790,1245944,2500734
1942,1408212,1390473,2798685
1943,1454534,1435357,2889891
1944,1389101,1366499,2755600
1945,1371401,1346093,2717494
1946,1650307,1612887,3263194
1947,1857537,1817844,3675381
1948,1782694,1742619,3525313
1949,1801962,1755518,3557480
1950,1818961,1758532,3577493
1951,1911710,1847276,3758986
1952,1973383,1901995,3875378
1953,2002250,1929497,3931747
1954,2069388,1990980,4060368
1955,2090634,2004989,4095623
1956,2145337,2059447,4204784
1957,2188110,2097885,4285995
1958,2153726,2065355,4219081
1959,2166024,2078386,4244410
1960,2165427,2079852,4245279
1961,2156167,2076596,4232763
1962,2102063,2027001,4129064
1963,2065085,1988027,4053112
1964,2027281,1957374,3984655
1965,1895047,1827419,3722466
1966,1817860,1755670,3573530
1967,1779736,1716811,3496547
1968,1775955,1709628,3485583
1969,1829798,1762754,3592552
1970,1905485,1831900,3737385
1971,1818380,1752473,3570853
1972,1674616,1612520,3287136
1973,1614174,1554111,3168285
1974,1630742,1566194,3196936
1975,1623078,1560867,3183945
1976,1633194,1571923,3205117
1977,1709921,1645014,3354935
1978,1709262,1643878,3353140
1979,1791950,1723300,3515250
1980,1855318,1780623,3635941
1981,1862800,1788473,3651273
1982,1887562,1814281,3701843
1983,1863881,1789590,3653471
1984,1876837,1803203,3680040
1985,1924390,1846211,3770601
1986,1921601,1845376,3766977
1987,1950068,1874089,3824157
1988,2001977,1922913,3924890
1989,2095879,1992102,4087981
1990,2151718,2054239,4205957
1991,2119489,2033303,4152792
1992,2098942,2004490,4103432
1993,2065241,1971376,4036617
1994,2038147,1949207,3987354
1995,2011158,1921402,3932560
1996,2003535,1917062,3920597
1997,1997631,1909075,3906706
1998,2027468,1938316,3965784
1999,2038777,1946561,3985338
2000,2087895,1995340,4083235
2001,2067937,1980498,4048435
2002,2066133,1974571,4040704
2003,2100670,2006036,4106706
2004,2112803,2017272,4130075
2005,2126696,2028915,4155611
2006,2191611,2089743,4281354
2007,2214309,2115697,4330006
2008,2179535,2081968,4261503
2009,2120035,2024110,4144145
2010,2053404,1959586,4012990
2011,2030102,1936458,3966560
2012,2027770,1938028,3965798
2013,2019062,1926017,3945079
2014,2047308,1954449,4001757
2015,2042095,1948706,3990801
2016,2022858,1933195,3956053
2017,1975558,1885970,3861528
2018,1939284,1855454,3794738
2019,1914661,1828242,3742903
2020,1831432,1751046,3582478
